,Title,Author,Published date,Format,Sale Price,Old Price,Category
8041,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 4,Mo Xiang Tong Xiu,13 Dec 2022,Paperback,15.02,20.5,Graphic-Novels-Anime-and-Manga
8042,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,Mo Xiang Tong Xiu,20 Dec 2022,Paperback,15.25,20.5,Graphic-Novels-Anime-and-Manga
8043,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Special Edition),Mo Xiang Tong Xiu;,02 May 2023,Paperback,26.71,26.71,Graphic-Novels-Anime-and-Manga
8044,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 6,Mo Xiang Tong Xiu,30 May 2023,Paperback,22.0,22.0,Graphic-Novels-Anime-and-Manga
8045,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,04 Nov 2019,Hardback,17.35,21.5,Graphic-Novels-Anime-and-Manga
8046,My Dress-up Darling 7,Shinichi Fukuda,31 Jan 2023,Paperback,14.93,19.0,Graphic-Novels-Anime-and-Manga
8047,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel) Vol. 1,Rou Bao Bu Chi Rou,15 Nov 2022,Paperback,14.85,20.5,Graphic-Novels-Anime-and-Manga
8048,"Chainsaw Man, Vol. 5",Tatsuki Fujimoto,24 Jun 2021,Paperback,9.62,10.5,Graphic-Novels-Anime-and-Manga
8049,Heaven Official's Blessing,Mo Xiang Tong Xiu,14 Dec 2021,Paperback,14.79,23.5,Graphic-Novels-Anime-and-Manga
8050,Tokyo Revengers (Omnibus) Vol. 7-8,Ken Wakui,07 Feb 2023,Paperback,22.93,25.0,Graphic-Novels-Anime-and-Manga
8051,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,Mo Xiang Tong Xiu,15 Feb 2022,Paperback,14.19,20.5,Graphic-Novels-Anime-and-Manga
8052,"My Hero Academia, Vol. 33",Kohei Horikoshi,16 Mar 2023,Paperback,10.43,10.43,Graphic-Novels-Anime-and-Manga
8053,"Jujutsu Kaisen, Vol. 18",Gege Akutami,02 Feb 2023,Paperback,9.6,10.5,Graphic-Novels-Anime-and-Manga
8054,"Chainsaw Man, Vol. 11",Tatsuki Fujimoto,07 Jul 2022,Paperback,9.66,10.5,Graphic-Novels-Anime-and-Manga
8055,"Chainsaw Man, Vol. 3",Tatsuki Fujimoto,01 Apr 2021,Paperback,9.59,10.0,Graphic-Novels-Anime-and-Manga
8056,Classroom of the Elite: Year 2 (Light Novel) Vol. 4,Syougo Kinugasa,07 Feb 2023,Paperback,14.81,15.5,Graphic-Novels-Anime-and-Manga
8057,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 3,Mo Xiang Tong Xiu,12 Jul 2022,Paperback,14.85,20.5,Graphic-Novels-Anime-and-Manga
8058,Berserk Deluxe Volume 1,Kentaro Miura,25 Apr 2019,Hardback,50.78,60.0,Graphic-Novels-Anime-and-Manga
8059,"Chainsaw Man, Vol. 2",Tatsuki Fujimoto,24 Dec 2020,Paperback,9.59,10.0,Graphic-Novels-Anime-and-Manga
